kepid,prob_confirmed,label
12300524,0.966978,CANDIDATE
9828127,0.9669745,CANDIDATE
11030475,0.966937,CANDIDATE
11098013,0.9669289,CANDIDATE
7335514,0.9669262,CANDIDATE
9872283,0.9669094,CANDIDATE
8546542,0.96689045,CANDIDATE
9935642,0.96688664,CANDIDATE
10118266,0.96687776,CANDIDATE
11288492,0.9668493,CANDIDATE
3109550,0.96684015,CANDIDATE
7106173,0.9668383,CANDIDATE
7663405,0.9668318,CANDIDATE
9575728,0.966817,CANDIDATE
7663405,0.96680665,CANDIDATE
11565544,0.96679157,CANDIDATE
8216763,0.96679014,CANDIDATE
8007174,0.96678215,CANDIDATE
7094944,0.96677434,CANDIDATE
7730747,0.9667736,CANDIDATE
8216763,0.96676695,CANDIDATE
8546542,0.96675694,CANDIDATE
9019191,0.9667505,CANDIDATE
6436029,0.96674204,CANDIDATE
7825899,0.96672976,CANDIDATE
11072016,0.966719,CANDIDATE
12349560,0.96671337,CANDIDATE
7663405,0.96671057,CANDIDATE
7747091,0.96670055,CANDIDATE
12208631,0.9666744,CANDIDATE
12256520,0.96663874,CANDIDATE
9203154,0.9666354,CANDIDATE
7380537,0.9666113,CANDIDATE
9580992,0.96659863,CANDIDATE
9712350,0.96656233,CANDIDATE
9514372,0.9665599,CANDIDATE
12004971,0.96652514,CANDIDATE
5780715,0.9665195,CANDIDATE
5780715,0.9665114,CANDIDATE
11395587,0.9665012,CANDIDATE
8216763,0.9664981,CANDIDATE
9580992,0.9664832,CANDIDATE
7747091,0.9664727,CANDIDATE
7106173,0.96647,CANDIDATE
9100484,0.9664686,CANDIDATE
9634821,0.966464,CANDIDATE
8218379,0.96645033,CANDIDATE
11360805,0.9664488,CANDIDATE
11360805,0.9664382,CANDIDATE
11030475,0.96643716,CANDIDATE
9580992,0.9664319,CANDIDATE
8216763,0.9664177,CANDIDATE
11338056,0.9664148,CANDIDATE
12602314,0.96639854,CANDIDATE
9203154,0.96639144,CANDIDATE
9019191,0.9663589,CANDIDATE
11075279,0.9663503,CANDIDATE
10656508,0.96633774,CANDIDATE
12349560,0.96633154,CANDIDATE
6867588,0.96632606,CANDIDATE
6603756,0.96630335,CANDIDATE
7094944,0.9662997,CANDIDATE
10717241,0.9662979,CANDIDATE
9514372,0.96629554,CANDIDATE
9828127,0.9662942,CANDIDATE
9100484,0.9662846,CANDIDATE
12300524,0.9662801,CANDIDATE
9203154,0.96627456,CANDIDATE
11602794,0.96626794,CANDIDATE
8554498,0.9662476,CANDIDATE
11655826,0.9662361,CANDIDATE
9100484,0.9662104,CANDIDATE
12253769,0.9661958,CANDIDATE
9006186,0.9661903,CANDIDATE
5353938,0.9661619,CANDIDATE
12300524,0.9661509,CANDIDATE
8874090,0.96614844,CANDIDATE
5376836,0.966148,CANDIDATE
7668416,0.96614546,CANDIDATE
12208631,0.9661432,CANDIDATE
8546542,0.9661414,CANDIDATE
8396660,0.9661301,CANDIDATE
6867588,0.9661224,CANDIDATE
11072016,0.96611583,CANDIDATE
9011877,0.9661098,CANDIDATE
11520114,0.9661025,CANDIDATE
8554498,0.9660967,CANDIDATE
10285631,0.96608883,CANDIDATE
11129738,0.96608526,CANDIDATE
12105051,0.9660751,CANDIDATE
3937814,0.96606743,CANDIDATE
5080636,0.96606445,CANDIDATE
12301181,0.96606034,CANDIDATE
7765528,0.9660455,CANDIDATE
11241560,0.9660433,CANDIDATE
9514372,0.96604073,CANDIDATE
9872283,0.96603864,CANDIDATE
7375348,0.9660371,CANDIDATE
12300524,0.9660335,CANDIDATE
8869680,0.9660315,CANDIDATE
12253769,0.9660254,CANDIDATE
8007174,0.9660239,CANDIDATE
9872283,0.96601593,CANDIDATE
12349560,0.9660046,CANDIDATE
9828127,0.9659931,CANDIDATE
7380537,0.9659919,CANDIDATE
9100484,0.9659891,CANDIDATE
10073672,0.9659886,CANDIDATE
10190075,0.9659837,CANDIDATE
9019191,0.9659796,CANDIDATE
11970050,0.96595144,CANDIDATE
6867588,0.9659384,CANDIDATE
8684730,0.96593016,CANDIDATE
8218379,0.9659244,CANDIDATE
10141900,0.9659077,CANDIDATE
11129738,0.9658809,CANDIDATE
5184911,0.9658738,CANDIDATE
11241560,0.9658604,CANDIDATE
9509343,0.9658558,CANDIDATE
10717241,0.9658451,CANDIDATE
11360805,0.9658442,CANDIDATE
12154526,0.96584374,CANDIDATE
9203154,0.96583205,CANDIDATE
7106173,0.9658254,CANDIDATE
11655826,0.9658067,CANDIDATE
11655826,0.9658056,CANDIDATE
9815053,0.9658006,CANDIDATE
4832837,0.96578205,CANDIDATE
9509343,0.9657805,CANDIDATE
9491832,0.9657755,CANDIDATE
12301181,0.9657717,CANDIDATE
11395587,0.9657701,CANDIDATE
7747091,0.9657683,CANDIDATE
11073656,0.9657629,CANDIDATE
3937814,0.9657561,CANDIDATE
7661065,0.96574366,CANDIDATE
9651602,0.96571934,CANDIDATE
12602314,0.9657149,CANDIDATE
9575728,0.96570945,CANDIDATE
11716643,0.96569043,CANDIDATE
8226050,0.9656682,CANDIDATE
9011877,0.96564764,CANDIDATE
11360805,0.96564287,CANDIDATE
12554634,0.9656416,CANDIDATE
7335514,0.9656335,CANDIDATE
8007174,0.96562505,CANDIDATE
8226050,0.9656042,CANDIDATE
11072016,0.9655866,CANDIDATE
12154526,0.96557105,CANDIDATE
11019739,0.9655682,CANDIDATE
9509343,0.96556103,CANDIDATE
7094944,0.9655488,CANDIDATE
10118266,0.96554416,CANDIDATE
9935642,0.9655435,CANDIDATE
8007174,0.96553504,CANDIDATE
11076400,0.96553236,CANDIDATE
9993683,0.9655037,CANDIDATE
11019739,0.9654938,CANDIDATE
10264293,0.9654875,CANDIDATE
9575728,0.9654776,CANDIDATE
9512981,0.96547604,CANDIDATE
10450504,0.96546733,CANDIDATE
5709889,0.9654488,CANDIDATE
10118266,0.96544814,CANDIDATE
11716643,0.96544737,CANDIDATE
7663405,0.96541816,CANDIDATE
8007174,0.9654047,CANDIDATE
11602794,0.9654021,CANDIDATE
9651602,0.9653957,CANDIDATE
11360805,0.96539205,CANDIDATE
12301181,0.9653905,CANDIDATE
12253769,0.96538883,CANDIDATE
11970988,0.96536136,CANDIDATE
11705004,0.9653472,CANDIDATE
6603756,0.96534413,CANDIDATE
7661065,0.9653426,CANDIDATE
7825899,0.9653388,CANDIDATE
10917043,0.9653357,CANDIDATE
11076400,0.96532327,CANDIDATE
12253769,0.9653105,CANDIDATE
11288492,0.9653054,CANDIDATE
6664842,0.9653044,CANDIDATE
11602794,0.9653023,CANDIDATE
10659624,0.9652942,CANDIDATE
10394802,0.9652807,CANDIDATE
6867588,0.96527827,CANDIDATE
7661065,0.96527386,CANDIDATE
11970050,0.96527207,CANDIDATE
11072016,0.96526027,CANDIDATE
6664842,0.9652277,CANDIDATE
12602314,0.9652205,CANDIDATE
11072016,0.96521854,CANDIDATE
9993683,0.9652173,CANDIDATE
7106173,0.96521574,CANDIDATE
12602314,0.96520996,CANDIDATE
7017274,0.9652092,CANDIDATE
5080636,0.96520007,CANDIDATE
7106173,0.9651981,CANDIDATE
11360805,0.96519667,CANDIDATE
7094944,0.96519345,CANDIDATE
6859546,0.96519023,CANDIDATE
9011877,0.9651778,CANDIDATE
12154526,0.96515733,CANDIDATE
10118266,0.96514857,CANDIDATE
8007174,0.96514714,CANDIDATE
10118266,0.9651326,CANDIDATE
9514372,0.9651231,CANDIDATE
5184911,0.9651186,CANDIDATE
8937762,0.96511704,CANDIDATE
8554498,0.9651128,CANDIDATE
6436029,0.96508527,CANDIDATE
5780715,0.9650775,CANDIDATE
7375348,0.9650706,CANDIDATE
5897826,0.96506405,CANDIDATE
3109550,0.96505696,CANDIDATE
9872283,0.965054,CANDIDATE
6867155,0.9650453,CANDIDATE
9509343,0.9650322,CANDIDATE
12208631,0.9650191,CANDIDATE
10140122,0.96501863,CANDIDATE
9509343,0.96501243,CANDIDATE
5780715,0.9650001,CANDIDATE
7630229,0.96499324,CANDIDATE
12349560,0.96498024,CANDIDATE
3937814,0.9649758,CANDIDATE
5080636,0.9649644,CANDIDATE
11716643,0.9649599,CANDIDATE
7106173,0.96495205,CANDIDATE
9935642,0.96495104,CANDIDATE
3453214,0.96494615,CANDIDATE
8554498,0.9649454,CANDIDATE
7094944,0.9649385,CANDIDATE
7630229,0.9649363,CANDIDATE
10118266,0.96493316,CANDIDATE
12256520,0.96492594,CANDIDATE
7094944,0.96490246,CANDIDATE
10190075,0.9649002,CANDIDATE
9514372,0.96489924,CANDIDATE
10717241,0.964893,CANDIDATE
6019971,0.9648861,CANDIDATE
11360805,0.9648807,CANDIDATE
9634821,0.96487033,CANDIDATE
9993683,0.9648433,CANDIDATE
11360805,0.9648413,CANDIDATE
8554498,0.9648281,CANDIDATE
9872283,0.96481276,CANDIDATE
9935642,0.9648009,CANDIDATE
11072016,0.9647973,CANDIDATE
8218379,0.9647871,CANDIDATE
12301181,0.9647861,CANDIDATE
11026304,0.9647809,CANDIDATE
7499398,0.9647554,CANDIDATE
8007174,0.9647393,CANDIDATE
7032421,0.9646984,CANDIDATE
11970988,0.9646785,CANDIDATE
6867588,0.96466553,CANDIDATE
7335514,0.9646623,CANDIDATE
11601425,0.9646519,CANDIDATE
5709889,0.96464235,CANDIDATE
5184911,0.9646421,CANDIDATE
10717241,0.96463627,CANDIDATE
8554498,0.96459067,CANDIDATE
8554498,0.96455973,CANDIDATE
5184911,0.96455693,CANDIDATE
9815053,0.96454865,CANDIDATE
6670610,0.96454483,CANDIDATE
6436029,0.9645122,CANDIDATE
10717241,0.96448463,CANDIDATE
9019191,0.9644659,CANDIDATE
11970988,0.9644536,CANDIDATE
9019191,0.9644395,CANDIDATE
7106173,0.9644354,CANDIDATE
9571186,0.96443164,CANDIDATE
11072016,0.96443087,CANDIDATE
7825899,0.9643663,CANDIDATE
9580992,0.96435624,CANDIDATE
1721157,0.9643497,CANDIDATE
9575728,0.9643457,CANDIDATE
9872283,0.9643415,CANDIDATE
3747817,0.9643406,CANDIDATE
6436029,0.96433204,CANDIDATE
7106173,0.96430117,CANDIDATE
9100484,0.96425635,CANDIDATE
9580992,0.9642562,CANDIDATE
9491832,0.96423894,CANDIDATE
10717241,0.964233,CANDIDATE
10394802,0.96423155,CANDIDATE
5709889,0.96422666,CANDIDATE
6436029,0.9642149,CANDIDATE
5184911,0.9642108,CANDIDATE
11970988,0.9642094,CANDIDATE
9203154,0.9642027,CANDIDATE
11026304,0.9641893,CANDIDATE
4832837,0.96418655,CANDIDATE
12105051,0.9641574,CANDIDATE
5353938,0.96415293,CANDIDATE
12257999,0.964149,CANDIDATE
9651602,0.9641427,CANDIDATE
4832837,0.96413326,CANDIDATE
12554634,0.9641097,CANDIDATE
9086154,0.9641032,CANDIDATE
11520114,0.9640977,CANDIDATE
11805075,0.9640955,CANDIDATE
9651602,0.96409446,CANDIDATE
