kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K03215.01",3342952,,"FALSE POSITIVE","FALSE POSITIVE",1.039046871,0.48,24.4,131.54272
"K03314.01",9838060,,"FALSE POSITIVE","FALSE POSITIVE",23.81578356,8.4,4856.7,141.84883
"K03317.01",7130418,,"FALSE POSITIVE","FALSE POSITIVE",15.52861675,1.96,500,145.70184
"K00051.01",6056992,,"FALSE POSITIVE","FALSE POSITIVE",10.431146765,50.44,29375.6,133.936337
"K00328.01",9895004,,"FALSE POSITIVE","FALSE POSITIVE",2.250826647,30.03,534.4,170.321819
"K03399.01",6359802,,"FALSE POSITIVE","FALSE POSITIVE",14.15402615,29.61,21653,144.17685
"K03400.01",9328641,,"FALSE POSITIVE","FALSE POSITIVE",33.3239576,2.55,2012.1,132.58989
"K00052.01",3558981,,"FALSE POSITIVE","FALSE POSITIVE",2.98786272,17.82,42789,168.011233
"K03485.01",5471289,,"FALSE POSITIVE","FALSE POSITIVE",12.42592675,2.66,410.3,141.5292956
"K03487.01",9783760,,"FALSE POSITIVE","FALSE POSITIVE",89.7398137,38.01,81096,205.26465
"K03489.01",9528430,,"FALSE POSITIVE","FALSE POSITIVE",90.08255562,49.2,43252.2,173.987561
"K00053.01",2445975,,"FALSE POSITIVE","FALSE POSITIVE",3.388887193,10.72,11267.8,172.259054
"K03584.01",9892471,,"FALSE POSITIVE","FALSE POSITIVE",8.268081087,50.31,71479.3,135.0563298
"K03585.01",2019076,,"FALSE POSITIVE","FALSE POSITIVE",3.564614021,46,94342,131.86235
"K03586.01",7376490,,"FALSE POSITIVE","FALSE POSITIVE",5.877122413,45.95,15647.1,136.420718
"K03587.01",11968513,,"FALSE POSITIVE","FALSE POSITIVE",1.036592635,463.05,124498,132.089146
"K03588.01",9656543,,"FALSE POSITIVE","FALSE POSITIVE",2.544594443,109.72,348777,135.040236
"K03589.01",10751515,,"FALSE POSITIVE","FALSE POSITIVE",56.40651043,21.93,102294,138.309825
"K03682.01",8621353,,"FALSE POSITIVE","FALSE POSITIVE",11.344347453,62.52,258242,138.811996
"K03684.01",9394601,,"FALSE POSITIVE","FALSE POSITIVE",0.876826336,37.24,138366,132.0647202
"K03685.01",8494410,,"FALSE POSITIVE","FALSE POSITIVE",208.86909724,29.95,21306.7,273.692419
"K03776.01",9291378,,"FALSE POSITIVE","FALSE POSITIVE",3.796488133,40.83,3007.6,135.15079
"K03777.01",4075067,,"FALSE POSITIVE","FALSE POSITIVE",17.7476059,146.63,877,139.3464
"K03778.01",12405950,,"FALSE POSITIVE","FALSE POSITIVE",3.539631353,39.34,1229.7,132.774997
"K03779.01",5206233,,"FALSE POSITIVE","FALSE POSITIVE",6.195861785,215.89,3509.8,134.23422
"K03780.01",6775985,,"FALSE POSITIVE","FALSE POSITIVE",27.961084,21.5,6268.2,133.1759
"K03781.01",3324644,,"FALSE POSITIVE","FALSE POSITIVE",2.882424694,399.44,67298,131.63584
"K03872.01",4666008,,"FALSE POSITIVE","FALSE POSITIVE",2.248063246,30.38,631.7,132.75441
"K03873.01",8430105,,"FALSE POSITIVE","FALSE POSITIVE",63.3278636,54.17,11515,165.22656
"K03874.01",11560037,,"FALSE POSITIVE","FALSE POSITIVE",1.466535757,4.28,1346.4,131.992658
"K03877.01",9159265,,"FALSE POSITIVE","FALSE POSITIVE",3.04476607,15.7,272.6,132.43708
"K03967.02",5385697,,"FALSE POSITIVE","FALSE POSITIVE",12.4260002,2.39,468.6,133.9385
"K03968.01",8823833,,"FALSE POSITIVE","FALSE POSITIVE",1.50650136,0.8,66.9,132.98952
"K03969.01",5475494,,"FALSE POSITIVE","FALSE POSITIVE",0.73619448,1.84,247.3,132.08341
"K03970.01",9412445,,"FALSE POSITIVE","FALSE POSITIVE",10.18670759,0.95,261.2,132.51843
"K03972.01",6057684,,"FALSE POSITIVE","FALSE POSITIVE",0.54028956,21.45,293.5,131.85133
"K03973.01",11568224,,"FALSE POSITIVE","FALSE POSITIVE",0.882131829,8.13,3620.9,131.900716
"K03974.01",7938883,,"FALSE POSITIVE","FALSE POSITIVE",0.489682339,37.47,431674,131.5738141
"K04063.01",5900390,,"FALSE POSITIVE","FALSE POSITIVE",0.624677585,1.28,37.3,131.8663
"K04064.01",5444334,,"FALSE POSITIVE","FALSE POSITIVE",0.759763198,1.2,202.5,131.78816
"K04070.01",10186945,,"FALSE POSITIVE","FALSE POSITIVE",0.793663156,1.14,186.2,131.79065
"K02659.01",8803882,,"FALSE POSITIVE","FALSE POSITIVE",89.465468,2.57,67.9,170.8426
"K02731.01",4072333,,"FALSE POSITIVE","FALSE POSITIVE",2.007750531,1.64,352,132.57843
"K02824.01",3241604,,"FALSE POSITIVE","FALSE POSITIVE",1.70336496,1.67,316.7,132.45889
"K02825.01",9591070,,"FALSE POSITIVE","FALSE POSITIVE",0.764174368,1.18,100.2,131.68497
"K02826.01",8227661,,"FALSE POSITIVE","FALSE POSITIVE",1.85373924,0.23,348.6,132.66885
"K02909.01",7461307,,"FALSE POSITIVE","FALSE POSITIVE",0.77359329,0.82,80.6,132.09232
"K02911.01",5471202,,"FALSE POSITIVE","FALSE POSITIVE",12.4258343,2.75,449.4,141.5311
"K02912.01",9640439,,"FALSE POSITIVE","FALSE POSITIVE",0.873227249,1.68,221.8,132.23359
"K03011.01",3328052,,"FALSE POSITIVE","FALSE POSITIVE",2.11547854,1.66,222.9,132.0118
"K03012.01",7109851,,"FALSE POSITIVE","FALSE POSITIVE",1.086486129,1.69,66,131.96598
"K03098.01",9959589,,"FALSE POSITIVE","FALSE POSITIVE",1.332557603,19.88,225.3,132.05691
"K03099.01",5124254,,"FALSE POSITIVE","FALSE POSITIVE",14.0498182,1.45,472,140.50396
"K03100.01",7107561,,"FALSE POSITIVE","FALSE POSITIVE",0.812587678,1.54,62.9,131.56261
"K03216.01",10338279,,"FALSE POSITIVE","FALSE POSITIVE",5.660274452,11.02,414.1,134.46727
"K03217.01",2573108,,"FALSE POSITIVE","FALSE POSITIVE",5.09506,2.14,23.6,132.4511
