kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K04241.01",9285568,"Kepler-1575 b","CONFIRMED","CANDIDATE",2.55315031,1.25,185.3,132.44849
"K00401.02",3217264,"Kepler-149 d","CONFIRMED","CANDIDATE",160.0191598,4.28,1552.8,251.28261
"K04246.01",5177859,"Kepler-1576 b","CONFIRMED","FALSE POSITIVE",6.98472143,1.19,90.7,135.99731
"K04356.01",8459663,"Kepler-1593 b","CONFIRMED","CANDIDATE",174.510276,1.74,1530,201.47056
"K00408.03",5351250,"Kepler-150 e","CONFIRMED","CANDIDATE",30.8261043,3.18,742.2,153.01503
"K04360.01",10669994,"Kepler-1594 b","CONFIRMED","CANDIDATE",2.71603664,1.05,98.5,132.35962
"K00534.02",10554999,"Kepler-179 b","CONFIRMED","CANDIDATE",2.735900074,1.56,428.9,171.0964
"K00543.02",11823054,"Kepler-181 b","CONFIRMED","CANDIDATE",3.137845914,1.5,305.7,133.55689
"K00566.01",7119481,"Kepler-604 b","CONFIRMED","CANDIDATE",25.85499978,2.4,610.5,192.57484
"K00574.01",8355239,"Kepler-189 c","CONFIRMED","CANDIDATE",20.13490007,2.98,1035.2,171.36734
"K00581.01",8822216,"Kepler-610 b","CONFIRMED","CANDIDATE",6.996926239,3.21,1317.4,175.914281
"K00586.01",9570741,"Kepler-613 b","CONFIRMED","CANDIDATE",15.77980122,2.11,541.4,175.96934
"K00601.02",10973664,"Kepler-619 d","CONFIRMED","CANDIDATE",11.67894236,4.17,1185.1,131.5119
"K00645.01",5374854,"Kepler-633 b","CONFIRMED","CANDIDATE",8.50339249,1.95,188.9,170.86894
"K00102.02",8456679,"Kepler-1990 c","CONFIRMED","FALSE POSITIVE",4.06844957,0.98,79.8,132.27614
"K00645.02",5374854,"Kepler-633 c","CONFIRMED","CANDIDATE",23.7832097,2.01,256.5,179.75013
"K00647.01",5531694,"Kepler-634 b","CONFIRMED","CANDIDATE",5.16949729,2.06,210.6,170.31339
"K00510.02",6422155,"Kepler-172 c","CONFIRMED","CANDIDATE",6.38899658,2.89,543.3,175.4761
